Hospital Name,About Hospital
Medicana International Hospital Samsun,"Medicana International Hospital Samsun is a leading international ""VIP type A hospital"" that provides its services according to global safety standards and the latest scientific developments. The clinic was established in 2011 by Medicana Health Group in the resort city of Samsun, near the Black Sea. The medical specialists working in the clinic are known for excellence in their fields. The hospital consists of 3 buildings with 249 beds. Approximately 100 doctors with scientific titles and 631 employees work in 40 medical departments. The hospital building is designed modernly using ""smart home"" technology. Large and spacious waiting rooms are made in soothing and relaxing shades. Antistatic and antibacterial wall paints are used throughout the hospital and in all patient wards. Fresh air purified by bacterial filters is available in every room. Medicana International Hospital Samsun pays attention to individual cancer treatment, so the therapy program consists of various combinations of 3 modalities - chemotherapy, radiation therapy, and organ-preserving surgery. Doctors receive detailed information about the localization of diseases using advanced technological tools, such as computed tomography and magnetic resonance imaging. Moreover, with the help of an operating microscope and advanced microsurgical instruments, accurate operations can be performed. Specialists use robotic surgery and 3D technologies that minimize risks and provide a high percentage of successful treatment. The academic experience of doctors and the constant exchange of knowledge between specialists in various fields allow us to treat the most complex cases and aim for 100% success. Medicana International Hospital Samsun specializes in ovarian cancer, pancreatic and biliary tract diseases, and breast cancer. Also available are neurosurgery, pediatric surgery, pediatrics, dermatology, endocrinology and metabolic disorders, physical medicine and rehabilitation, gastroenterology, general and thoracic surgery, and pulmonary medicine. The medical team focuses on the best treatment outcome so patients can return to their previous lifestyles."
Medicana Camlica Hospital Istanbul,"Medicana Camlica Hospital Istanbul has been one of Turkey's recognized and world-famous hospitals since 1999. The clinic provides complex diagnostic and therapeutic services and has a professional medical team and excellent technical equipment. It suits various treatments, from regular check-ups to complex cancer therapies and transplantology. Medicana Camlica Hospital provides services on a covered area of 9,300 square meters with 113 beds, seven operating theatres, and 35 intensive care beds. The hospital accepts outpatients and inpatients every day without a day off. The clinic's infrastructure allows it to carry out more than 1,500 procedures in the heart catheterization laboratory and more than 400 shunting operations per hour. Supporting organ donation and transplantation and taking innovative steps in this area, the Medicana Camlica is one of the four transplant units of the Medicana Health Group. The medical center is incredibly proud of its successes in corneal transplantation after scarring, swelling, or damage. Doctors accept patients from Turkey and Europe to perform this procedure following international standards. The clinic also has a certified aviation medical center with a committee of aviation forensic experts who conduct a full range of examinations for aviators and flight personnel. The departments of cardiology and cardiovascular surgery of the Medicana Camlica Hospital are distinguished by their qualified personnel who have achieved success at the level of world standards. In addition to specialized departments, the medical center also has diagnostic departments and clinical laboratories. The Medicana Camlica clinic has numerous specialized units equipped with the best medical technologies and experienced staff. The hospital has come to the fore with services provided in specialty areas, including cardiology, cardiovascular surgery, gastroenterology, hemodialysis, nephrology, organ transplantation, in vitro fertilization (IVF), and reproductive health, orthopedics and trauma, cyst surgery, and microsurgery. Medical staff work hand in hand to provide patients with the utmost care and quick results."
Academic Hospital Helios Hildesheim,"Academic Hospital Helios Hildesheim is a tertiary hospital and teaching hospital of the Hannover Medical School founded in 1895. Comprehensive diagnostic and therapeutic capabilities and the latest medical technologies provide the best medical care for the clinic's patients. More than 1,200 employees treat about 25,000 inpatients and 80,000 outpatients annually. The medical institution is designed for 566 beds; all wards are bright and comfortable. The clinic is an efficiently designed facility with modern, attractive architecture. The Hospital Helios clinic aims to provide the best possible diagnostic and treatment with state-of-the-art procedures and technology. Many areas of medicine at Academic Hospital Helios are awarded prestigious certificates, including the German Society for Oncology and IQM certification.  The clinic often undergoes diagnostics and treatment of patients from foreign countries, which confirms the excellent reputation of the medical center in the international arena. The hospital has modern technical equipment, which allows the visualization of even the most minor structures. The radiology department uses digital radiography, MRI, CT, angiography, bone densitometry, and mammography, significantly speeding up the time for accurate diagnosis. Doctors also conduct clinical research based on the clinic, so patients, if desired, can take advantage of the most innovative methods and treatment techniques. The medical center is proud of its specialized center for premature babies, where all the necessary doctors are available around the clock to care for and treat the smallest premature babies from the 23rd week of pregnancy. Helios Hospital Hildesheim specializes in surgical departments such as visceral, vascular, thoracic, orthopedic, aesthetic, spinal, oral and maxillofacial. In addition, the medical center is also an expert in other medical fields such as oncology, cardiology, angiology, diseases, diabetes, metabolic, nephrology, dialysis, geriatrics, and others. The medical team works hand in hand on an interdisciplinary basis to provide patients with the highest quality medical services."
Helios Hospital Idstein,"Helios Hospital Idstein, founded in 1905 as a city hospital, is a traditional primary healthcare clinic of national importance. Helios has owned the medical center since the end of 2005, and a modern new building was commissioned in 2008. With a total capacity of 80 beds, 4,000 inpatients and 7,500 outpatients are treated at the medical center annually. About 150 employees of the Helios clinic offer innovative methods and treatment techniques. A balanced and varied menu in the hospital considers individual preferences in food and the diet the doctor prescribes. To live up to the high reputation of Helios Clinics, the medical center combines medical experience with service and focuses on the most important thing - the health of the patient.  One of the main goals of the clinic is to maintain or restore patients' mobility.  Older people who are severely limited due to pain and inability to move, as well as adults who are actively involved in sports, can again lead an everyday active life with the help of arthroplasty.  Thanks to modern methods of trauma surgery, specialists use tissue-sparing procedures so that patients can put their bodies back under full load as soon as possible and quickly regain their independence. In the medical center, doctors use high-resolution ultrasounds to detect and treat even the most minor changes and diseases of the organs. Helios Hospital in Idstein has two main areas - internal medicine, which includes gastroenterology, orthopedics, and cardiology, and surgery, which provides trauma surgery, general and visceral surgery, and endoprosthetics. The clinic is also certified for the treatment of occupational injuries at work. Patients are in good hands with a qualified team of doctors, nurses, therapists, and support staff."
VM Medical Park Hospital Maltepe Istanbul,"VM Medical Park Hospital Maltepe Istanbul is one of 25 hospitals Medical Park Group operates in 16 cities. The hospital welcomes patients in all departments thanks to world-class advanced diagnostic and treatment methods, superior patient-centered hospitality services, and an experienced and academic staff of physicians. In addition, the clinic's management prioritizes patient satisfaction and takes all necessary measures to ensure their safety. VM Medical Park Maltepe Hospital is a multidisciplinary facility with about 300 professional staff experts in their fields. The intensive care service has 68 beds, including four for coronary intensive care, five for cardiovascular diseases, and 20 for newborns. The clinic employs qualified personnel with extensive experience in pathological conditions. Doctors are responsible for providing excellent medical care following international safety protocols.  VM Medical Park Maltepe is known for its services in the field of neurosurgery.  The hospital has a separate specialized department for such operations and a team of specialists who alleviate all issues related to nervous system diseases. The clinic also has a professional team of anesthesiologists and an intensive care team equipped with everything necessary to treat any case of cardiovascular disease. Their services include angiography, coronary artery bypass, heart valve replacement, aortic aneurysm, and peripheral vascular surgery. All procedures in the clinic are presented using modern navigation systems, monitoring systems, operating microscopes, and robotic surgery. The medical center Maltepe Istanbul offers a wide range of services from oncology to neurology and cardiovascular to urology. Specialists have exceptional experience in plastic and aesthetic surgery, including anti-aging procedures, breast lifts, rhinoplasty, and congenital deformity surgery. Along with outstanding medical care, VM Medical Park Maltepe Hospital also offers first-class hospitality services for its patients and their families accompanying them."
University Hospital San Raffaele Milan IRCCS,"University Hospital San Raffaele Milan IRCCS is a world-renowned, unique research center and an advanced hospital. Since 1969, under one roof, in collaboration with Vita-Salute San Raffaele University, there has been a synergy of new clinical research, high-quality patient treatment, and postgraduate training in various medical fields. The clinic is the only Italian member of the European University Hospital Alliance, which brings together nine of the best universities and research hospitals at the European level. Since 2001, it has been recognized by the Italian Ministry of Health in molecular medicine. San Raffaele in Milan covers an area of over 290,000 m². 11 buildings surround an open space with a garden, a restaurant, and an underground shopping center. With 100 high-tech laboratories, 1,350 beds, and 50 medical specialties, it treats more than 50,000 patients annually and conducts more than 880 ongoing clinical trials. In addition, the clinic is home to numerous high-tech certified centers, analogs of which are units around the world: the heart valve and research of venous pathologies center, the reference hub for pediatric diabetes, the European center of advanced experience in the diagnosis and treatment of neuroendocrine tumors of the European Society of Neuroendocrine Tumors. San Raffaele University Clinic's basic science is rapidly being solved in clinical practice, and clinical needs drive basic research. The Institute tries to understand various human diseases' mechanisms and identify new treatment strategies. The world's first stem cell gene therapy for patients with severe combined immunodeficiency was developed by the professional staff of San Raffaele Clinic. A team of gynecologists and neurosurgeons from the hospital successfully performed a complete neurosurgical correction of spina bifida in the middle of the uterus using a unique technique never before used in Europe and reducing the risks to mother and child without affecting subsequent pregnancies. Also, a woman was transplanted with ovarian tissue to fight infertility due to a rare disease after the previous removal. Doctors get invaluable experience and the opportunity to try the latest technologies that meet the safety and high level of treatment efficiency. Professionals in their field receive numerous awards: the Bellisario Golden Apple Award 2021, the Robertson Stem Cell Prize, the Fresenius Award for Biomedical Research, and ARVO for the fight against corneal diseases. At Milan University Hospital San Raffaele, patients receive high treatment results in the most challenging cases after numerous previous studies and ineffective treatments. A robust interdisciplinary knowledge base and new medical opportunities provide unique methods and high results. Rare genetic, immunological, neurological, and rheumatological diseases, valvular heart defects, metabolic disorders, hepatitis B, and COVID-19 are the spectra of interest to doctors. Still, knowledge and experience go far beyond these limits and are undoubtedly a great advantage of this medical center."
University Hospital Medipol Istanbul,"University Hospital Medipol Istanbul is the largest private medical center in Turkey and one of the recognized leading clinics in the field of medical tourism. The Medipol Clinic attracts attention with its modern architecture, intelligent building technology, and advanced medical equipment. As a result, Medipol University Hospital is a new reference point for health care nationally and internationally. The medical center has a capacity of 470 beds, 133 of which are in the intensive care unit. Medipol Hospital has the most significant number of departments in Turkey's hospitals and represents a patient-centered approach to top-quality service. The hospital is also equipped with next-generation technology, allowing simultaneous operations in 25 operating rooms. Every year, in the four central departments of the clinic - general medicine, oncology, cardiology, and dentistry - about 400,000 receive adequate treatment. Medipol University Hospital is a modern hospital that meets JCI standards and accepts patients worldwide. The hospital's departments have modern diagnostic and treatment systems: PET-MRI, PET-CT, 256-slice CT, MRI 3 Tesla, intraoperative MRI system, linear accelerators, and Da Vinci Xi surgical robot. The clinic has the only SPECT CT in Turkey, which allows you to scan the heart in less than 5 minutes.  Thanks to the organ transplantation center, the clinic has gained international recognition and reached the level of world medicine. The team in the transplantation department is highly qualified, trained, and trained in leading clinics in the US and the EU. Today, liver and kidney transplantation is a specialized hospital area where Turkish doctors have wildly succeeded. The specialized departments of the hospital also include neurology and neurosurgery, gynecology and obstetrics, urology, dermatology, endocrinology, gastroenterology, hematology, and plastic and reconstructive surgery. It is also worth noting that there is a helipad on the territory of the Medipol University Hospital, which allows the patient to be transported in the most urgent cases. Furthermore, the entire hospital's medical staff has many years of experience, so patients can be sure of the high quality of medical services."
Hisar Hospital Intercontinental Istanbul,"Hisar Hospital Intercontinental Istanbul is one of the country's largest and most comprehensive private hospitals in the Asian region of Istanbul. The medical center has received international recognition for its outstanding comprehensive services that offer the highest quality in the most comfortable, safe, and patient-centered environment using the latest and greatest medical technology. The hospital has world-class infrastructure, cutting-edge technology, and a helipad to transport local and international patients. Combining modern medical technology and comfort with the principle of leading people to a healthy lifestyle, Hisar Hospital Intercontinental has a total area of use of 35,000 square meters and consists of 8 floors and 212 beds. The clinic offers 151 procedures in 53 specialties, such as IVF, weight loss surgery, removal of complex tumors, hernia repair, spine surgery, coronary artery bypass grafting, and various plastic and cosmetic surgeries. Hisar Intercontinental Hospital is one of the rare hospitals that has taken its place among the essential medical organizations in the world thanks to its compliance with internationally recognized standards and the JCI accreditation certificate. The hospital has excellent technical equipment for quick diagnosis and effective treatment. The new first-class CT system, which plays an essential role in evaluating many diseases using the latest imaging techniques, provides our patients with the most accurate and early diagnosis. The most potent and advanced scanner in the world, Aquilion One, delivers images with unrivaled accuracy and resolution.  Coronary CT angiography can be performed within 24 hours using the latest computed tomography system class.  The 3 Tesla MRI has the highest accuracy among existing MRI models, operates silently, and is suitable for patients with claustrophobia, as it is wider than standard devices. From orthopedics and traumatology to spinal health, obstetrics, and gynecology to cardiology, oncology to hematology, the Hisar Clinic includes various specialized medical departments, especially neurological sciences, surgical sciences, and internal sciences, diagnostics, and imaging, as well as outstanding academic staff. When patients arrive at the hospital, trained, friendly staff carry out all treatment preparation and planning. The same care and warmth are maintained until patients are discharged after recovery. Hisar Intercontinental Hospital is structured as a ""Patient Friendly Hospital""."
EsteCapelli Istanbul,"EsteCapelli Istanbul is a private medical center focusing on aesthetics and plastic surgery. Since 2013, the clinic has offered its services in modern high-tech offices. The goal of the doctors is to create a relaxed and safe atmosphere and constantly introduce the most effective methods into the clinic's life. A multidisciplinary team works under one roof, develops original treatment methods in close cooperation, and implements a complex individual approach to each patient. In addition, the patient can receive a consultation from several doctors for better certainty of the correctness of the selected procedure. Combining several methods in one procedure allowed doctors to obtain high results in hair transplantation. In addition to classic techniques, Ozone DHI is a unique procedure that uses ozone therapy during transplantation for better healing and faster hair growth.  DHI/FUE VITA allows maximally nourishing and preserving each hair's roots for even greater density.  The medical center performs surgical interventions for rapid weight loss using the laparoscopic method, which allows a shortened rehabilitation period and avoids unsightly scars. Thanks to bariatric surgery, the patient not only gets rid of obesity but also has the opportunity to cure type 2 diabetes and sleep apnea syndrome. The clinic's services are constantly expanding, which attracts patients from all over the world. In parallel to solving aesthetic problems, eliminating poor vision problems is also available. The most effective LASIK laser correction does not damage the eye's structures or require long-term restrictions after the operation. The clinic focuses on hair transplantation and baldness treatment. In addition, bariatric and plastic surgery (rhinoplasty, breast and genital correction, body lift, liposuction, blepharoplasty), modern dentistry, and laser vision correction are also available at a high level. The success rate and impeccable reputation of EsteCapelli Clinic Istanbul make it one of the best in the city."
NIM Clinic Istanbul,"The clinic is one of the best for plastic and esthetic treatment in Turkey. NIM Clinic Istanbul specializes in appearance correction issues and is distinguished by the high quality of service of the highest A++ level. The hospital was opened in 2006, received international recognition, and was recognized by JCI. The most significant focus of doctors is on successful hair transplantation. Over 4,000 successful hair transplants have already been performed with an almost 100% success rate. In addition, NIM Clinic in Istanbul has excellent success in plastic surgery and dental treatment. The medical staff comprises a team of doctors with appropriate specialization and many years of experience. In addition, patient-centered support staff provide 24/7 care as needed. The key to the success of the procedures is the clinic's free hair analysis and determination of the patient's skin type. A detailed examination aims to identify the causes of hair growth disorders for further work with a possible disease parallel to the primary treatment.  The medical center uses modern, painless, and minimally invasive hair transplantation techniques such as Sapphire FUE, DHI, and hair transplantation without shaving and transplantation of long hair.  The newest method is organic hair transplantation, in which liquid-rich stem cells prepared from the patient's fat tissue are injected into the transplant area. Thus, it is possible to avoid chemical injections that destroy donor hair follicles while ensuring the preparation of the skin area for better skin healing and excellent hair growth. In addition, the hospital offers numerous options for plastic surgery. The most popular procedure is liposuction, which takes place in various variants (ultrasound, vibration), ensuring minimal trauma and less bruising or swelling after the operation. In addition, rhinoplasty is performed quickly, minimally invasively, shortening the rehabilitation period. NIM Clinic is deeply involved in studying and treating hair growth problems through high-quality hair transplantation. In addition, breast augmentation, reduction, or complete reconstruction, teeth whitening, dental implants, crown prosthetics, and veneers have high effectiveness. Doctors use a patient-oriented approach and pay close attention to the patient's wishes regarding the future outcome of changes in appearance."
Acibadem Hospital Adana,"Acibadem Hospital Adana is a leading private cancer center with additional general departments and has been operating since 2009. The clinic has JCI gold standard international accreditation, which confirms the high quality of treatment and proper observance of high standards. The medical center building is on the territory of 22,000 m² and consists of 105 beds, 28 intensive care beds, and 6 surgical rooms. The scope of services includes both general and pediatric treatment. The most popular areas are oncology and cardiac surgery. Doctors diagnose cancer in the most complicated cases thanks to ultrasound, MRI, CT, 3D mammography, PET-CT, and a three-dimensional imaging system for prostate biopsy.  Oncological screening also offers detection of the disease in the early asymptomatic stages. In the possibility of a malignant lesion, the multidisciplinary team develops an individual treatment for each tumor, depending on the type, the presence of metastases, and the depth of the impression. First, doctors resort to drug treatment, such as chemotherapy, hormone therapy (in treating hormone-sensitive prostate and breast tumors), and more modern targeted biological and immunotherapy. Another stage of cure in Acibadem Сlinic in Adana is radiation medicine.  The Trilogy linear accelerator is a breakthrough in the contemporary remedy and combines the imaging and stereotaxic technologies of SRT and SRS.  In addition, oncologists have MR-LINAC, TrueBeam, and tomotherapy in their arsenal. In most cases, specialists use gentle surgical treatment methods and conservative treatment. High-precision, innovative CyberKnife and GammaKnife help doctors to affect oncology near vital organs or treat inoperable patients with a non-invasive surgical procedure. Intraoperative radiology improves the quality of interventions and helps to consolidate the results. In addition, doctors also deal with malignant hematological and autoimmune diseases with the support of bone marrow transplantation. The collection of bone marrow and stem cells takes place in the laboratories of Acıbadem Labcell with a cGMP accreditation certificate. High-quality surgery is also available for patients with cardiovascular disease.  Robotic surgeons treat arrhythmias, patch holes in the heart, and perform coronary bypass surgery.  Aneurysms and varicose veins dined with minimally invasive intravascular intervention without large incisions. Adana Acibadem Medical Center offers advanced remedies for cancer and cardiovascular diseases and has excellent success in bone marrow transplantation, hematology, bariatrics, infertility treatment, perinatology, and cosmetic dermatology. In addition, General and neurosurgery focus on gentle techniques to reduce the rehabilitation and the complications of infection or bleeding."
Institute of Cardiology Warsaw,"The Institute of Cardiology Warsaw is one of the 6 centers in Poland in which heart transplantation is available. In addition, doctors have performed cardiac surgery and effective medical treatment since 1979. As a result, 40% of all transplants in Poland are performed here and have a high survival rate compared to the average in other centers. The clinic meets the high-quality criteria of ISO 9001:2000. More than 16,000 patients receive services in inpatient departments, and 63,000 consult outpatients. About 2,100 operations per year are sufficient to maintain the necessary experience and proper development of the cardiac surgical field. In addition, the hospital became the first to use telemedicine for consult patients worldwide. This approach is especially relevant for foreign patients who can maintain contact with the doctor after discharge. The medical center has high-tech equipment for a quick and precise diagnosis of disorders, such as 384-multislice CT, MRI, nuclear medicine imaging, SPECT-CT, Echo, and ultrasound diagnostics devices. The availability of monitoring for arrhythmias and hemodynamics, artificial respiration devices, and bedside renal replacement therapy allow the Institute of Cardiology in Warsaw to provide emergency medical care and intensive care in the most challenging cases. The additional use of therapeutic hypothermia and mechanical cardiac support is a significant measure to save a patient's life during cardiac arrest and significantly reduces the risk of complications. A significant achievement of the medical center was the use of robotics electrophysiology with the Genesis Magnetic Navigation (RMN) robotic system from Stereotaxis. Thanks to modern technologies, the clinic provides gentle organ-preserving treatment of arrhythmias, which has no analogs in the country. Patients also have access to unique treatment owing to numerous clinical studies conducted at the medical center, including studies of genetic mutations in cardiomyopathies, using 64-slice CT scans for non-invasive coronary angiography, treating valvular disease by implanting non-stent valves and homografts and many others. Warsaw Institute of Cardiology provides cardiosurgical treatment, vascular surgery, treatment of coronary heart disease, congenital and valvular defects, cardiomyopathies, arrhythmia control, heart transplantation, and rehabilitation. The development of molecular biological technologies in diagnostics and minimally invasive treatment methods allow the clinic's doctors to get positive results from the treatment. In addition, the low risk of complications, high survival, and remote support of the patient at home make the medical center the institution of choice for treatment."
Gamma Knife Center Warsaw,"Gamma Knife Center Warsaw has been Poland's leading specialized medical center for over 10 years. The clinic provides high-quality services and effective treatment of complex brain and nervous system lesions. Also, treatment and patient safety meet ISO requirements and recommendations of the world's leading associations. The highly qualified staff are the owners of awards from the ""Health Manager"" editorial board, ""Golden Scalpel"" from ""Pulse Medicine,"" and ""Patients' Trust"" from the All-Ukrainian medical plebiscite ""Patient's Laurel. "" In addition, the clinic can perform 64-slice CT and magnetic resonance imaging. In the case of small metastases and localization of tumors in the posterior part of the skull, the patient sometimes needs additional MRI with the introduction of paramagnetic contrast. Easy access to high-precision diagnostics allows doctors to plan for treatment and its stages quickly. The medical center was the first in the country to use Gamma Knife Perfexion for the non-surgical remedy of brain tumor diseases. It is staffed by outstanding neurosurgeons, radiologists, oncologists, and physicists, which allows for therapy with a high-efficiency rating. The latest generation Gamma Knife Icon has allowed obtaining an even lower number of treatment complications due to the improved installation and irradiation of more extensive tumors. This type of treatment is especially acute for the treatment of acoustic neuroma, which allows the preservation of the function of hearing and the vital structures of the brain. A satisfactory result is achieved in more than 97% of patients. Also, therapy can be used as an additional after-surgical remedy. GammaKnife significantly reduces the risk of complications, and 50% of complications after treatment are temporary and disappear. The technique is also often the method of choice in the elderly, with recurrent trigeminal neuralgia, or in people with coagulopathies or on anticoagulant therapy. About 90% of cases are successful, and another 65% have no disease recurrence. Cerebral arteriovenous malformations (AVMs) are also cured with a significantly lower risk of cerebral hemorrhage, reducing the likelihood of disability and death. Treating tremors in frail older people with frequent renal impairment also requires minimally invasive treatment, achieved by radiosurgical thalamotomy with the Gamma Knife Icon. Warsaw Gamma Knife Clinic accepts patients with Parkinson's disease, intrasellar and pericellular tumors, meningiomas, brain metastases, acoustic tumors, trigeminal neuralgia, and cerebral arteriovenous malformations (AVMs). The hospital offers many benefits of Gamma Knife therapy, such as the cure lasting 2-3 hours and the patient returning home the same day. Furthermore, unlike classical radiation therapy of the whole brain, Gamma Knife does not lead to intellectual impairment."
University Hospital Pilsen,"University Hospital Pilsen is a modern medical institution cooperating with the Faculty of Medicine of Charles University in Pilsen. As early as 1898, the city general hospital of Emperor Franz Joseph I was functioning in the building. The hospital structure has been supplemented with another location for better access to high-quality treatment for residents and foreign patients. Today, the clinic is the largest in southwestern Bohemia and meets CSN EN ISO safety and quality standards. In addition, the hospital has numerous certified centers at the federal level, for example, in IVF, bone marrow transplantation, and liver, prostate, and kidney operations. Furthermore, the urology department has the prestigious European Council of Urology - EBU accreditation. Doctors of each unit strive to use modern technologies to cure. In particular, dermatologists use powerful vascular and erbium lasers for congenital vascular defects (nevus flammeus).  The ENT department also has a total operating room equipped with surgical microscopes, a CO2 laser, a Celon radiofrequency thermoablation device, and experimental Waterlase and IDAS lasers.  In addition, oncologists perform targeted therapy, immunotherapy, and biological treatment to provide patients with the most effective, fastest remedy. Also, highly specialized operations to remove a tumor or the entire organ are available. In particular, this includes ultra-complicated ""replace"" the bladder or remove kidney stones using a minimally invasive method through a flexible ureteroscope. It is also worth noting that the urogynecology department cooperates with university institutions of many European countries and the Faculty of Applied Sciences of ZCU.  Such strong ties contributed to the expansion to the scale of one of the biggest in the country in reconstructive operations for pelvic floor defects with the help of laparoscopic methods. In addition to classical treatment, Pilsen University Clinic is the largest provider of services in transfusion and one of the seven crisis blood transfusion centers. The clinic is also included in the Czech National Register of bone marrow donors and has separate accreditation for treating malignant blood diseases. The high rating of treatment efficiency and impeccable reputation of the University Medical Center Pilsen contribute to the ever-increasing expansion of services, diagnostic possibilities, and treatment in gynecology, urology, cardiac surgery, orthopedics, ENT, and ophthalmology. Research into new treatment methods, diagnostics, and the causes of increased morbidity helps move global medicine forward and be an integral part of it."
Hospital Quironsalud Barcelona,"Hospital Quironsalud Barcelona, with 70 years of experience, provides treatment for the most common diseases of patients worldwide. The clinic's structure includes 229 hospital beds and 13 intensive care beds. The medical center meets JCI standards and has the privilege of serving foreign patients. In addition, the medical staff is included in the Forbes list of the best Spanish doctors, and the clinic was awarded the IMTJ Awards 2020 as one of the 4 best cancer centers in the world. It is the first hospital in Spain and the second in the world to start using robotic surgical interventions thanks to the Mazor X Stealth™ Edition.  Thanks to this approach, surgeons have achieved almost 100% accuracy when installing implants, decompressing nerves, or resecting spinal tumors. The technique helps to use the least invasive approaches thanks to the navigation built into the robot.  Another modern installation in operating rooms is the DaVinci device, actively used in urology and general surgery.  Such a range of technologies makes it possible to cover almost all surgical interventions with high-quality medicine.  Also, when the use of robotic methods is impractical, doctors have the possibility of an improved approach to classical interventions thanks to O-arm intraoperative diagnostics.  Navigation based on 2D fluoroscopy and 3D images of the body reduces the risks of complications and increases the individual approach of each treatment case. In addition, high-quality treatment of malignant tumors is complemented by LINAC and TrueBeam linear accelerators. The devices reduce the load on healthy tissues, assessing the correctness of the body's position, and irradiating tumors in areas that move during breathing. Intracranial stereotaxic surgery allows one-time irradiation of brain tumors and discharge of patients on the same day with high-efficiency results. Barcelona Clinic Quironsalud provides services in, but not limited to, rheumatology, oncology, urology, endocrinology, allergology, pediatrics, and gynecology. In addition, plastic surgery, rehabilitation, psychiatry, and dietetics are available here. High technology and innovation are essential characteristics of the European medical center, which has become popular outside the country."
Hospital Ruber Internacional Madrid,"Hospital Ruber Internacional Madrid was founded in 1942. In 1984, the clinic acquired a modern name and appearance, becoming one of the most developed hospitals in Spain in terms of high-tech departments. Generally, the structure of the medical center includes 14 central services, 42 medical and surgical departments of various profiles, and more than 100 doctors. According to the Spanish magazine ""Robb Report"", the hospital was recognized as ""The best private hospital in Spain"". High quality is also confirmed by ISO 9001 and ISO 14001 certificates. Beginning its history in 1974, the hospital became a pioneer in Spain in several directions at once. The clinic was the first in the country to launch the ""Total Body"" scanner, which was available only in three medical centers worldwide. In addition, Clinic Ruber Internacional Madrid contributed significantly to the urological treatment of urolithiasis thanks to the installation of shock wave lithotripsy.  In 1993, doctors had the most experience using GammaKnife, which the latest version of GammaKnife ICON completes today.  A total of 7,000 patients received state-of-the-art cures thanks to innovative technology.  Since 2007, the medical center has also used CyberKnife to remove pancreas, liver, lungs, or prostate tumors.  2016 also saw a significant breakthrough in diagnosis with Magnetom Prisma 3 Tesla MRI and intraoperative O-arm imaging for the spine. The most important direction of the multidisciplinary clinic is radiology, which is highly developed thanks to clinical research, scientific works (which received notable prizes), and numerous grants. In addition, hybridized operating rooms for endovascular treatment have allowed doctors to achieve a 2% surgical risk in heart operations in the elderly. Another feature is stereoelectroencephalography (SEEG), deep electrode thermocoagulation, and laser ablation for minimally invasive treatment of patients with epilepsy through holes up to 1. 2 mm in diameter.  Also, the DaVinci robot ""Xi"" newest model allows various surgical interventions with a low probability of traumatizing healthy tissues in an even more comprehensive range of diseases. The internationally recognized scientific and medical Hospital Ruber Internacional in Madrid offers various services for treating cardiac, neurological, orthopedic, oncological, and gastroenterological patients. Apart from this, remedy for urological, aesthetic, dental, and psychological problems is also available in the towers of the same building for better patient comfort."
Institut Curie Hospital Paris,"Institut Curie Hospital Paris is part of a legendary research center that, since 1920, has been the most critical research hub in oncology, cell biology, and physics. 50,000 patients annually have the opportunity to receive convenient and latest treatment for malignant tumors of any kind thanks to the close cooperation of scientists and doctors Doctors and researchers pay great attention to the search for modern diagnostic methods for early detection of the lesion, determination of the molecular and genetic type of the tumor (sequencing) for a more accurate cure (adjuvant therapy), and determination of the presence of metastases. In addition, oncologists can access high-tech operating rooms for removing tumors using laparoscopic and minimally invasive robotic methods supplemented by remarkable navigators. Numerous studies based on the oncology department made it possible to develop a national protocol and become a leading center for treating the central nervous system and eye lymphoma. Another rare tumor that receives special attention is uveal melanoma, which is effectively treated with proton therapy and endoresection to avoid the complication of neovascular glaucoma in the event of a scar.  Also, taking on the task of a recognized leading center, oncologists have invaluable experience performing high-quality intraperitoneal chemohyperthermia (IPCH).  The method is used to destroy the minor residual processes of carcinomatosis. After surgery, IPCH combines high temperature and chemotherapy for better results. In addition, the hospital has one of the complete technical platforms for radiation therapy in France.  As a result, volume-modulated arc therapy (with development towards hypofractionated radiation therapy) or brachytherapy using iodine 125-grain implants is actively used in prostate treatment.  Also, great attention is paid to the geriatric aspects of malignant tumor lesions, so the Institute has developed a special G8 frailty screening. Doctors can assess the condition of patients over 75 years of age and have all the necessary opportunities to maintain and improve it during complex treatment. Postoperative intensive care is available as needed for faster recovery. The Paris Institut Curie Clinic staff aims to develop the most gentle methods of treating patients with the most severe diseases in oncology. In addition, doctors provide high-precision diagnostics for the timely detection of diseases. A detailed analysis of the configuration of the tumor, the mechanisms of its occurrence, and a combination of various treatments simultaneously allow for obtaining high success rates."
